,osgb,nofloors,geometry,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster,interiors,touching,polygon_exposed_wall,polygon_horizontal,bi
10,52401019330091,2,"POLYGON ((531529.25 165262.81, 531529.9 165262.34, 531527.76 165259.32, 531522.37 165263.15, 531521.32 165263.89, 531523.46 165266.91, 531524.81 165268.82, 531523.22 165269.92, 531524.58 165271.92, 531526.2 165270.78, 531531.17 165277.8, 531529.4 165279.04, 531530.77 165281.06, 531532.56 165279.76, 531535.37 165283.73, 531544.69 165296.87, 531542.52 165298.41, 531548.69 165307.51, 531551.04 165305.84, 531560.35 165318.97, 531565.65 165315.21, 531563.74 165312.52, 531564.14 165312.23, 531562.17 165309.46, 531562.5 165309.23, 531560.99 165307.11, 531560.66 165307.34, 531558.75 165304.66, 531558.38 165304.92, 531556.35 165302.07, 531554.93 165303.08, 531554.67 165302.71, 531548.72 165294, 531548.88 165293.88, 531550.18 165292.96, 531548.23 165290.05, 531548.56 165289.82, 531546.72 165287.07, 531547.05 165286.84, 531545.52 165284.61, 531545.16 165284.87, 531543.24 165282.18, 531542.92 165282.42, 531539.28 165277.14, 531539.61 165276.91, 531537.78 165274.17, 531538.19 165273.88, 531536.63 165271.69, 531536.27 165271.95, 531534.4 165269.25, 531534.08 165269.48, 531532.09 165266.61, 531532 165266.68, 531529.25 165262.81))",False,6.02,0.103529453760139,dom0,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531542.848853882,165288.940021588,4.0,dom,C,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Cavity,Yes,Double (post 2002),dom0,False,[],"LINESTRING (531529.25 165262.81, 531529.9 165262.34, 531527.76 165259.32, 531522.37 165263.15, 531521.32 165263.89, 531523.46 165266.91, 531524.81 165268.82, 531523.22 165269.92, 531524.58 165271.92, 531526.2 165270.78, 531531.17 165277.8, 531529.4 165279.04, 531530.77 165281.06, 531532.56 165279.76, 531535.37 165283.73, 531544.69 165296.87, 531542.52 165298.41, 531548.69 165307.51, 531551.04 165305.84, 531560.35 165318.97, 531565.65 165315.21, 531563.74 165312.52, 531564.14 165312.23, 531562.17 165309.46, 531562.5 165309.23, 531560.99 165307.11, 531560.66 165307.34, 531558.75 165304.66, 531558.38 165304.92, 531556.35 165302.07, 531554.93 165303.08, 531554.67 165302.71, 531548.72 165294, 531548.88 165293.88, 531550.18 165292.96, 531548.23 165290.05, 531548.56 165289.82, 531546.72 165287.07, 531547.05 165286.84, 531545.52 165284.61, 531545.16 165284.87, 531543.24 165282.18, 531542.92 165282.42, 531539.28 165277.14, 531539.61 165276.91, 531537.78 165274.17, 531538.19 165273.88, 531536.63 165271.69, 531536.27 165271.95, 531534.4 165269.25, 531534.08 165269.48, 531532.09 165266.61, 531532 165266.68, 531529.25 165262.81)","POLYGON ((531529.25 165262.81, 531529.9 165262.34, 531527.76 165259.32, 531522.37 165263.15, 531521.32 165263.89, 531523.46 165266.91, 531524.81 165268.82, 531523.22 165269.92, 531524.58 165271.92, 531526.2 165270.78, 531531.17 165277.8, 531529.4 165279.04, 531530.77 165281.06, 531532.56 165279.76, 531535.37 165283.73, 531544.69 165296.87, 531542.52 165298.41, 531548.69 165307.51, 531551.04 165305.84, 531560.35 165318.97, 531565.65 165315.21, 531563.74 165312.52, 531564.14 165312.23, 531562.17 165309.46, 531562.5 165309.23, 531560.99 165307.11, 531560.66 165307.34, 531558.75 165304.66, 531558.38 165304.92, 531556.35 165302.07, 531554.93 165303.08, 531554.67 165302.71, 531548.72 165294, 531548.88 165293.88, 531550.18 165292.96, 531548.23 165290.05, 531548.56 165289.82, 531546.72 165287.07, 531547.05 165286.84, 531545.52 165284.61, 531545.16 165284.87, 531543.24 165282.18, 531542.92 165282.42, 531539.28 165277.14, 531539.61 165276.91, 531537.78 165274.17, 531538.19 165273.88, 531536.63 165271.69, 531536.27 165271.95, 531534.4 165269.25, 531534.08 165269.48, 531532.09 165266.61, 531532 165266.68, 531529.25 165262.81))",bi_531543-18_165288-44
11,52401019330104,2,"POLYGON ((531512.4 165237.55, 531507.9 165240.85, 531510.8 165244.9, 531514.4 165242.3, 531514.65 165242.2, 531513.6 165240.7, 531514.3 165240.2, 531512.4 165237.55))",False,5.56,0.0724428193558425,dom0,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531511.444852848,165241.234474864,4.0,dom,E,B,Electricity,Unknown,RmHeaters,None,Electricity,ImmersionHeater,Solid,No,Pitched,Yes,Cavity,Yes,Double,dom0,False,"[52401019330008, 52401019330090]","MULTILINESTRING ((531507.9 165240.85, 531510.8 165244.9), (531514.4 165242.3, 531514.65 165242.2, 531513.6 165240.7, 531514.3 165240.2, 531512.4 165237.55))","POLYGON ((531512.4 165237.55, 531507.9 165240.85, 531510.8 165244.9, 531514.4 165242.3, 531514.65 165242.2, 531513.6 165240.7, 531514.3 165240.2, 531512.4 165237.55))",bi_531512-39_165243-33
12,52401020910001,2,"POLYGON ((532065.35 164864.75, 532063.95 164867.1, 532076.31 164874.39, 532077.4 164875.03, 532081.01 164869, 532067.6 164861, 532065.35 164864.75))",False,6.45,0.131642965146908,nondom1,PRE-1914,Office,Office,,,,,,,,,,,,,,,,,,,532072.47611763,164868.024912695,1.0,nondom,,,,,,,,,,,,,,,,nondom1,False,"[52401020910003, 52401020910004]","MULTILINESTRING ((532063.95 164867.1, 532076.31 164874.39, 532077.4 164875.03), (532081.01 164869, 532067.6 164861, 532065.35 164864.75))","POLYGON ((532065.35 164864.75, 532063.95 164867.1, 532076.31 164874.39, 532077.4 164875.03, 532081.01 164869, 532067.6 164861, 532065.35 164864.75))",bi_532095-49_164860-4
13,52401020910002,2,"POLYGON ((532088.33 164909.35, 532089.18 164907.91, 532094.15 164899.55, 532078.4 164890.15, 532072.6 164899.85, 532088.33 164909.35))",False,8.45,0.0838007881825509,nondom1,POST-1980,Office,Office,,,,,,,,,,,,,,,,,,,532083.37932651,164899.732452468,4.0,nondom,,,,,,,,,,,,,,,,nondom1,False,[],"LINESTRING (532088.33 164909.35, 532089.18 164907.91, 532094.15 164899.55, 532078.4 164890.15, 532072.6 164899.85, 532088.33 164909.35)","POLYGON ((532088.33 164909.35, 532089.18 164907.91, 532094.15 164899.55, 532078.4 164890.15, 532072.6 164899.85, 532088.33 164909.35))",bi_532083-38_164899-7
14,52401020910003,3,"POLYGON ((532081.01 164869, 532077.4 164875.03, 532084.05 164878.95, 532086.16 164880.21, 532094.35 164885.1, 532099.69 164875.97, 532106.72 164863.97, 532103.75 164862.2, 532105.19 164859.79, 532091.54 164851.4, 532086.64 164859.59, 532081.01 164869))",False,6.69,0.132919571377738,nondom1,1918-1939,Office,Office,Office,,,,,,,,,,,,,,,,,,532092.58493007,164868.407328429,2.0,nondom,,,,,,,,,,,,,,,,nondom1,False,"[52401020910001, 52401020930052]","MULTILINESTRING ((532077.4 164875.03, 532084.05 164878.95, 532086.16 164880.21, 532094.35 164885.1, 532099.69 164875.97), (532106.72 164863.97, 532103.75 164862.2, 532105.19 164859.79, 532091.54 164851.4, 532086.64 164859.59, 532081.01 164869))","POLYGON ((532081.01 164869, 532077.4 164875.03, 532084.05 164878.95, 532086.16 164880.21, 532094.35 164885.1, 532099.69 164875.97, 532106.72 164863.97, 532103.75 164862.2, 532105.19 164859.79, 532091.54 164851.4, 532086.64 164859.59, 532081.01 164869))",bi_532095-49_164860-4
15,52401020910004,3,"POLYGON ((532065.35 164864.75, 532061.4 164862.4, 532060.1 164857.4, 532064.8 164849.4, 532070 164848, 532078.4 164853.25, 532082.67 164846.4, 532076.74 164843.41, 532063.25 164836.6, 532057.45 164847.2, 532051.25 164858.7, 532050.9 164859.6, 532049.4 164864.75, 532055.66 164868.45, 532061.23 164871.75, 532063.95 164867.1, 532065.35 164864.75))",False,6.46,0.20482022399093,nondom1,PRE-1914,Office,Office,Office,,,,,,,,,,,,,,,,,,532063.388039909,164852.768291214,1.0,nondom,,,,,,,,,,,,,,,,nondom1,False,"[52401020910001, 52401020930057]","MULTILINESTRING ((532065.35 164864.75, 532061.4 164862.4, 532060.1 164857.4, 532064.8 164849.4, 532070 164848, 532078.4 164853.25, 532082.67 164846.4), (532076.74 164843.41, 532063.25 164836.6, 532057.45 164847.2, 532051.25 164858.7, 532050.9 164859.6, 532049.4 164864.75, 532055.66 164868.45, 532061.23 164871.75, 532063.95 164867.1))","POLYGON ((532065.35 164864.75, 532061.4 164862.4, 532060.1 164857.4, 532064.8 164849.4, 532070 164848, 532078.4 164853.25, 532082.67 164846.4, 532076.74 164843.41, 532063.25 164836.6, 532057.45 164847.2, 532051.25 164858.7, 532050.9 164859.6, 532049.4 164864.75, 532055.66 164868.45, 532061.23 164871.75, 532063.95 164867.1, 532065.35 164864.75))",bi_532095-49_164860-4
16,52401020930001,3,"POLYGON ((532030.3 164825.1, 532030.4 164820.1, 532024.95 164819.95, 532025.05 164816.56, 532017.75 164816.3, 532017.65 164819.65, 532016.9 164819.6, 532016.75 164824.65, 532020.5 164824.75, 532020.45 164826.6, 532024.8 164826.7, 532024.8 164824.95, 532026 164824.98, 532025.9 164829.25, 532029.45 164829.38, 532033.88 164829.55, 532033.95 164827.25, 532030.2 164827.05, 532030.3 164825.1))",False,7.63,0.149011941763454,dom1,PRE-1914,Dwell,Dwell,Dwell,,,,,,,,,,,,,,,,,,532024.320710738,164822.858329034,1.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1,False,"[52401020930029, 52401020930044]","MULTILINESTRING ((532030.3 164825.1, 532030.4 164820.1, 532024.95 164819.95, 532025.05 164816.56), (532017.75 164816.3, 532017.65 164819.65, 532016.9 164819.6, 532016.75 164824.65, 532020.5 164824.75, 532020.45 164826.6, 532024.8 164826.7, 532024.8 164824.95, 532026 164824.98, 532025.9 164829.25), (532029.45 164829.38, 532033.88 164829.55, 532033.95 164827.25, 532030.2 164827.05, 532030.3 164825.1))","POLYGON ((532030.3 164825.1, 532030.4 164820.1, 532024.95 164819.95, 532025.05 164816.56, 532017.75 164816.3, 532017.65 164819.65, 532016.9 164819.6, 532016.75 164824.65, 532020.5 164824.75, 532020.45 164826.6, 532024.8 164826.7, 532024.8 164824.95, 532026 164824.98, 532025.9 164829.25, 532029.45 164829.38, 532033.88 164829.55, 532033.95 164827.25, 532030.2 164827.05, 532030.3 164825.1))",bi_532027-62_164830-72
17,52401020930002,1,"POLYGON ((532173.75 164741.25, 532173.55 164739.9, 532178.35 164738.3, 532176.7 164726.95, 532171.5 164727.65, 532172.85 164737.3, 532172 164737.4, 532172.5 164741.45, 532173.33 164747.03, 532179.5 164747.6, 532179.9 164741.95, 532177.35 164742.4, 532177.2 164744.35, 532174.1 164744.05, 532173.75 164741.25))",False,3.61,0.05,dom3,1945-1980,Dwell,,,,,,,,,,,,,,,,,,,,532175.284208794,164737.017765796,3.0,dom,E,E,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Solid,No,Room in Roof,Yes,Solid Brick,No,Double (pre 2002),dom3,False,[],"LINESTRING (532173.75 164741.25, 532173.55 164739.9, 532178.35 164738.3, 532176.7 164726.95, 532171.5 164727.65, 532172.85 164737.3, 532172 164737.4, 532172.5 164741.45, 532173.33 164747.03, 532179.5 164747.6, 532179.9 164741.95, 532177.35 164742.4, 532177.2 164744.35, 532174.1 164744.05, 532173.75 164741.25)","POLYGON ((532173.75 164741.25, 532173.55 164739.9, 532178.35 164738.3, 532176.7 164726.95, 532171.5 164727.65, 532172.85 164737.3, 532172 164737.4, 532172.5 164741.45, 532173.33 164747.03, 532179.5 164747.6, 532179.9 164741.95, 532177.35 164742.4, 532177.2 164744.35, 532174.1 164744.05, 532173.75 164741.25))",bi_532174-84_164732-47
18,52401020930003,2,"POLYGON ((532125.45 164766.21, 532114.41 164759.76, 532113.1 164762.05, 532116.8 164764.15, 532116.15 164765.3, 532123.55 164769.5, 532125.45 164766.21))",False,5.35,0.112212950830977,dom3,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532119.476327472,164764.768561237,1.0,dom,E,E,Mains Gas,Boiler,Radiators,Mains Gas,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double (post 2002),dom3,False,[52401020930083],"LINESTRING (532114.41 164759.76, 532113.1 164762.05, 532116.8 164764.15, 532116.15 164765.3, 532123.55 164769.5, 532125.45 164766.21)","POLYGON ((532125.45 164766.21, 532114.41 164759.76, 532113.1 164762.05, 532116.8 164764.15, 532116.15 164765.3, 532123.55 164769.5, 532125.45 164766.21))",bi_532121-25_164763-36
19,52401020930004,2,"POLYGON ((532118.62 164871.09, 532114.55 164878.1, 532116.2 164879.1, 532112.85 164884.75, 532115.15 164886.14, 532122.61 164873.48, 532118.62 164871.09))",False,6.64,0.214703377528307,dom3,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532117.644800441,164877.964369753,1.0,dom,E,B,Mains Gas,Boiler,Radiators,Mains Gas,Mains Gas,Boiler,Suspended,No,Pitched,No,Solid Brick,No,Double (post 2002),dom3,False,"[52401020930025, 52401020930072]","MULTILINESTRING ((532114.55 164878.1, 532116.2 164879.1, 532112.85 164884.75, 532115.15 164886.14), (532122.61 164873.48, 532118.62 164871.09))","POLYGON ((532118.62 164871.09, 532114.55 164878.1, 532116.2 164879.1, 532112.85 164884.75, 532115.15 164886.14, 532122.61 164873.48, 532118.62 164871.09))",bi_532095-49_164860-4
20,52401020930005,2,"POLYGON ((532130.73 164878.33, 532123.23 164890.96, 532125.8 164892.5, 532129.2 164886.85, 532130.71 164887.76, 532134.85 164880.8, 532130.73 164878.33))",False,6.79,0.152921603635773,dom0,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532129.195336387,164885.023920135,1.0,dom,D,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Suspended,No,Pitched,Yes,Solid Brick,No,Double,dom0,False,"[52401020930054, 52401020930062]","MULTILINESTRING ((532123.23 164890.96, 532125.8 164892.5, 532129.2 164886.85, 532130.71 164887.76), (532134.85 164880.8, 532130.73 164878.33))","POLYGON ((532130.73 164878.33, 532123.23 164890.96, 532125.8 164892.5, 532129.2 164886.85, 532130.71 164887.76, 532134.85 164880.8, 532130.73 164878.33))",bi_532095-49_164860-4
21,52401020930006,2,"POLYGON ((532222.5 164734.35, 532225.25 164733.1, 532225.95 164734.55, 532236.15 164729.85, 532234.6 164726.45, 532235.45 164726.05, 532233.25 164721.3, 532222.3 164726.3, 532224 164730.05, 532221.1 164731.35, 532222.5 164734.35))",False,7.53,0.0840534809429389,dom3,PRE-1914,Dwell,Dwell,,,,,,,,,,,,,,,,,,,532228.874121949,164728.29114459,1.0,dom,D,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Solid Brick,No,Double (post 2002),dom3,False,[],"LINESTRING (532222.5 164734.35, 532225.25 164733.1, 532225.95 164734.55, 532236.15 164729.85, 532234.6 164726.45, 532235.45 164726.05, 532233.25 164721.3, 532222.3 164726.3, 532224 164730.05, 532221.1 164731.35, 532222.5 164734.35)","POLYGON ((532222.5 164734.35, 532225.25 164733.1, 532225.95 164734.55, 532236.15 164729.85, 532234.6 164726.45, 532235.45 164726.05, 532233.25 164721.3, 532222.3 164726.3, 532224 164730.05, 532221.1 164731.35, 532222.5 164734.35))",bi_532229-26_164728-15
